profile_gender,profile_age,profile_income,profile_membership_days,transcript_time,offer_completed,offer_received,offer_viewed,offer_transaction,transcript_amount,transcript_reward,meta_reward,meta_required_spending,meta_max_hours,successful_offer,transaction_amount_rate,user_category,0,1,2,3,4,5,6,7,8,9,10
1,26.0,61000.0,2300,398.35714285714283,3,6,2,17,62.93,9.0,29.0,100.0,73.71428571428571,2,0.537733846380145,1,1,1,0,0,0,0,1,1,0,1,1
1,71.0,41000.0,1263,340.5,0,5,3,4,6.26,0.0,60.0,75.0,102.0,0,0.05349140121308926,1,1,0,0,1,1,1,1,0,0,1,0
1,24.0,42000.0,1306,313.3333333333333,0,6,5,7,16.180000000000003,0.0,52.0,60.0,70.66666666666667,0,0.1382573277360678,1,1,0,0,1,1,1,0,1,1,0,0
2,62.0,81000.0,1756,323.0769230769231,4,5,5,12,279.15999999999997,25.0,95.0,140.0,78.46153846153847,4,2.385408875822044,2,1,0,0,1,1,0,0,0,0,1,0
1,61.0,66000.0,1149,304.10526315789474,2,5,3,9,105.83,7.0,42.0,120.0,102.3157894736842,2,0.9043122987829452,1,1,1,0,0,1,0,0,1,0,1,0
2,88.0,54000.0,1993,298.09090909090907,1,5,5,11,166.4,5.0,35.0,35.0,53.45454545454545,1,1.421880057804801,0,1,0,0,1,1,0,0,0,0,0,1
1,55.0,83000.0,1971,434.0869565217391,4,6,5,8,218.04999999999995,26.0,72.0,112.0,101.21739130434783,4,1.8632268425741394,2,1,0,1,0,0,1,0,1,1,0,0
1,21.0,59000.0,1188,421.2,0,3,2,5,20.53,0.0,32.0,40.0,74.4,0,0.17542787011257552,1,1,0,0,1,0,1,0,1,0,0,0
1,72.0,102000.0,1462,334.3333333333333,3,5,5,5,133.25,8.0,44.0,92.0,122.66666666666667,3,1.1386148900390007,2,1,1,1,0,0,1,0,0,1,0,0
1,62.0,80000.0,1687,420.0,3,5,2,10,163.92,17.0,36.0,90.0,88.8,2,1.4006885761740562,0,1,1,0,0,0,1,0,0,1,1,1
1,50.0,104000.0,1381,467.625,3,3,2,8,219.63,25.0,70.0,100.0,84.0,2,1.8767278671614689,0,1,0,0,0,1,1,0,0,0,1,0
2,68.0,76000.0,1021,322.5,0,4,4,4,53.550000000000004,0.0,34.0,50.0,116.0,0,0.4575821940832157,1,1,1,0,1,0,0,1,0,0,0,0
1,94.0,50000.0,2323,402.0,3,4,4,7,77.21000000000001,9.0,27.0,75.0,104.0,3,0.6597557648023359,1,1,1,0,0,0,0,1,1,1,0,0
1,44.0,72000.0,1914,403.90909090909093,5,5,4,8,150.64,19.0,55.0,131.0,116.72727272727273,4,1.287211610022327,2,1,1,1,0,0,1,0,1,0,0,0
1,59.0,77000.0,1270,264.0,1,4,2,3,63.49999999999999,10.0,43.0,59.0,117.6,1,0.542604469174308,1,1,0,1,0,0,1,1,1,0,0,0
0,52.0,80000.0,1859,390.9,4,4,4,8,164.01,23.0,69.0,126.0,97.2,4,1.4014576218783978,2,1,0,1,1,1,0,0,0,0,1,0
2,58.0,102000.0,1013,375.52941176470586,3,5,4,5,124.09,14.0,80.0,120.0,111.52941176470588,3,1.060343127241573,2,1,1,0,0,1,0,0,1,0,0,0
1,33.0,42000.0,1203,264.6666666666667,0,4,3,2,6.9799999999999995,0.0,32.0,64.0,128.0,0,0.05964376684782158,1,1,1,1,0,1,0,0,1,0,0,0
1,28.0,35000.0,1283,371.5,0,6,4,2,2.59,0.0,51.0,90.0,138.0,0,0.022131426380495398,1,1,1,0,0,1,1,0,1,0,1,1
1,47.0,86000.0,1503,324.54545454545456,3,4,4,11,241.54999999999998,15.0,45.0,81.0,87.27272727272727,3,2.0640332209299856,2,1,1,1,0,0,1,0,0,0,0,1
2,22.0,49000.0,1605,398.0769230769231,3,5,4,14,134.74000000000004,8.0,24.0,72.0,75.6923076923077,3,1.1513468689219888,2,1,1,1,0,0,0,0,0,1,0,1
1,34.0,38000.0,1055,384.0,0,5,4,9,26.98,0.0,61.0,84.0,77.33333333333333,0,0.23054281225705248,1,1,0,1,1,1,1,0,0,0,1,0
1,53.0,73000.0,1059,367.6363636363636,2,3,3,3,64.27000000000001,4.0,16.0,80.0,154.9090909090909,2,0.5491840824225636,1,1,1,0,0,0,0,0,1,0,0,0
1,53.0,40000.0,1166,366.70588235294116,1,5,3,8,26.18,5.0,61.0,84.0,93.17647058823529,1,0.22370685044068322,1,1,0,1,0,0,1,1,0,0,1,0
2,58.0,115000.0,1214,393.55555555555554,5,6,4,12,334.64000000000004,24.0,70.0,110.0,88.0,4,2.8594828277872515,2,1,1,0,1,1,0,1,1,0,0,1
1,22.0,32000.0,1932,384.90909090909093,4,5,5,19,59.62,23.0,69.0,81.0,56.72727272727273,4,0.5094500543649172,3,1,0,1,1,1,0,1,0,1,0,0
1,71.0,75000.0,1561,418.5,5,5,3,7,162.42,21.0,59.0,115.0,112.8,3,1.3878711477683638,2,1,1,0,0,1,0,1,1,0,0,0
1,45.0,88000.0,1169,367.0,1,5,4,2,44.599999999999994,10.0,50.0,74.0,140.0,1,0.3811048712625848,1,1,1,1,0,0,1,0,0,0,0,1
2,82.0,33000.0,2310,422.14285714285717,2,3,3,20,191.54999999999998,4.0,32.0,80.0,60.0,2,1.6367856074069087,0,1,1,0,0,1,0,0,0,0,0,0
1,40.0,65000.0,1633,415.0,1,5,4,2,23.07,5.0,39.0,100.0,134.0,1,0.19713204887954783,1,1,0,0,1,0,1,0,1,1,1,0
1,35.0,70000.0,1137,317.6,1,4,3,7,30.98,3.0,34.0,61.0,78.4,1,0.2647226213388986,1,1,0,1,0,1,0,0,0,0,1,1
1,73.0,45000.0,1817,438.62068965517244,3,5,4,17,614.59,13.0,34.0,121.0,70.34482758620689,3,5.251642215902961,2,1,0,1,0,0,0,0,0,1,1,1
1,55.0,94000.0,1712,394.5,3,4,2,11,236.95999999999998,9.0,35.0,75.0,86.4,2,2.0248118900085674,0,1,1,0,0,0,1,1,1,0,0,0
1,60.0,74000.0,1331,406.6666666666667,0,4,4,1,4.03,0.0,28.0,60.0,133.33333333333334,0,0.034436157649960025,1,1,1,0,0,1,0,0,1,1,0,0
1,45.0,52000.0,1180,384.0,0,5,4,5,15.790000000000001,0.0,55.0,70.0,92.57142857142857,0,0.1349247963505878,1,1,0,0,1,0,1,0,0,1,1,0
1,57.0,80000.0,1454,322.90909090909093,4,4,4,10,186.23,30.0,90.0,180.0,111.27272727272727,4,1.5913264613280533,2,1,0,0,0,0,1,0,0,0,1,0
2,56.0,91000.0,1140,319.2,1,3,3,3,80.1,10.0,40.0,40.0,98.4,1,0.6844506768639697,1,1,0,0,0,0,1,1,0,1,0,0
1,55.0,104000.0,1605,462.0,1,3,2,3,76.65,2.0,6.0,30.0,106.66666666666667,1,0.6549705915308774,1,1,1,0,0,0,0,0,0,1,0,1
1,19.0,50000.0,1718,444.5,5,5,3,11,144.97,22.0,56.0,140.0,100.0,3,1.2387617306488101,2,1,1,0,1,0,0,0,0,0,1,0
2,68.0,32000.0,1472,323.8125,4,6,4,18,129.85999999999999,16.0,58.0,112.0,72.0,4,1.109647501842136,2,1,0,1,0,0,1,1,0,1,1,0
1,52.0,38000.0,1073,378.46153846153845,1,4,3,5,20.200000000000003,2.0,20.0,68.0,114.46153846153847,1,0.1726080358633232,1,1,1,1,0,0,0,0,1,0,0,0
1,57.0,55000.0,1326,284.1818181818182,0,4,4,3,64.03999999999999,0.0,14.0,60.0,117.81818181818181,0,0.5472187434003573,1,1,1,0,0,0,0,0,0,1,1,1
2,86.0,109000.0,1092,374.47058823529414,3,6,2,6,191.68,17.0,51.0,105.0,120.0,2,1.6378964512020688,0,1,1,0,1,0,1,1,0,0,1,1
2,54.0,117000.0,1299,300.75,2,5,3,6,176.74,7.0,26.0,50.0,97.5,2,1.5102348642813734,0,1,1,0,1,0,0,1,0,1,0,1
1,58.0,54000.0,2358,322.90909090909093,3,5,5,20,69.17999999999999,10.0,60.0,96.0,58.90909090909091,3,0.5911397980705295,1,1,0,1,1,1,0,1,1,0,0,0
2,86.0,73000.0,1386,354.3529411764706,2,4,3,8,154.99,15.0,50.0,50.0,60.705882352941174,2,1.3243821523988348,0,1,0,0,1,1,0,1,0,1,0,0
1,67.0,79000.0,1326,336.6,3,4,4,9,186.54,15.0,45.0,90.0,79.2,3,1.5939753965318963,2,1,0,0,1,0,0,0,0,1,1,0
1,70.0,60000.0,1134,405.0,0,5,3,4,6.32,0.0,34.0,58.0,106.0,0,0.054004098349316965,1,1,0,1,0,0,1,0,1,0,0,1
2,61.0,118000.0,2007,418.64516129032256,5,5,5,16,417.92999999999995,27.0,81.0,150.0,90.58064516129032,5,3.5711919023939926,2,1,1,0,1,0,1,1,0,0,1,0
2,52.0,115000.0,1841,373.0,3,6,5,10,287.10999999999996,14.0,32.0,80.0,94.0,3,2.4533412463722137,2,1,1,0,0,0,1,0,0,1,0,1
2,70.0,76000.0,1246,360.3157894736842,3,3,3,10,199.64999999999998,20.0,60.0,105.0,75.78947368421052,3,1.7059997207976472,2,1,0,0,1,1,0,0,0,0,1,0
1,56.0,99000.0,1843,312.72,5,5,5,10,235.41,19.0,57.0,141.0,118.08,5,2.011567213989352,2,1,1,1,0,0,1,0,1,0,0,0
2,44.0,35000.0,1541,470.4,1,5,1,3,18.28,2.0,13.0,60.0,110.4,1,0.15620172750403705,1,1,0,0,0,0,0,0,1,0,1,1
1,46.0,35000.0,1003,364.8,0,5,4,6,14.290000000000001,0.0,70.0,70.0,89.6,0,0.12210736794489548,1,1,0,0,0,1,1,1,0,0,0,1
2,84.0,74000.0,1272,415.7142857142857,2,4,3,5,83.2,7.0,31.0,100.0,111.42857142857143,2,0.7109400289024005,1,1,0,0,1,0,0,0,1,0,1,1
1,22.0,57000.0,1118,368.5,0,4,3,5,10.330000000000002,0.0,35.0,50.0,72.0,0,0.08826935695386777,1,1,0,0,1,1,0,0,0,1,1,0
1,62.0,90000.0,2045,476.7,4,4,4,8,161.51000000000002,27.0,81.0,150.0,122.4,4,1.3800952412022442,2,1,1,0,0,0,1,0,0,0,1,0
2,57.0,79000.0,1042,284.5,1,6,2,3,45.79,2.0,11.0,35.0,96.0,1,0.3912733644644341,1,1,1,0,0,0,0,1,1,1,0,1
1,24.0,56000.0,2517,317.1818181818182,0,5,2,15,55.18000000000001,0.0,9.0,40.0,39.27272727272727,0,0.47151046628406806,1,1,0,0,0,0,0,0,1,1,1,0
2,66.0,57000.0,1927,384.7826086956522,3,6,5,9,131.04999999999998,9.0,22.0,100.0,108.52173913043478,3,1.1198159950439852,2,1,1,0,0,0,0,0,0,0,1,1
2,68.0,76000.0,1942,445.0,3,4,2,9,198.08999999999997,17.0,44.0,90.0,84.0,2,1.6926695952557271,0,1,0,0,0,0,1,0,1,0,1,1
2,54.0,30000.0,1365,319.5,1,4,3,8,58.28000000000001,5.0,45.0,45.0,64.5,1,0.49799981832249884,1,1,0,0,1,0,1,0,0,0,0,1
1,20.0,43000.0,1923,405.9130434782609,3,4,3,13,151.82999999999998,25.0,70.0,100.0,66.78260869565217,3,1.297380103224176,2,1,0,0,0,1,1,0,0,0,1,1
1,56.0,35000.0,1249,397.44,2,5,5,13,110.51999999999998,7.0,31.0,85.0,69.12,2,0.9443881249314097,1,1,0,0,1,0,0,0,1,0,1,1
1,61.0,100000.0,2049,285.0,3,6,5,10,1003.4100000000001,18.0,56.0,76.0,82.0,3,8.57409055770382,2,1,0,1,0,0,1,1,1,1,0,0
1,72.0,45000.0,1172,416.14285714285717,1,5,4,18,50.55,2.0,40.0,80.0,65.14285714285714,1,0.43194733727183104,1,1,1,0,0,0,1,1,1,0,0,1
1,61.0,78000.0,1272,367.7647058823529,2,6,6,3,64.33000000000001,8.0,34.0,46.0,110.11764705882354,2,0.5496967795587913,1,1,0,1,0,0,0,1,0,1,0,1
1,61.0,34000.0,1588,390.0,4,5,5,13,98.65,20.0,60.0,60.0,64.0,4,0.8429595414810314,3,1,0,0,1,0,0,1,0,1,0,0
2,75.0,109000.0,1072,348.0,2,2,2,2,37.04,10.0,30.0,30.0,108.0,2,0.3165050320978956,1,1,0,0,1,0,0,1,0,0,0,0
2,57.0,116000.0,1967,437.45454545454544,3,4,2,2,54.620000000000005,25.0,75.0,75.0,102.54545454545455,2,0.46672529301260957,1,1,0,0,1,1,1,0,0,0,0,0
1,52.0,95000.0,1687,297.75,5,5,4,10,248.64999999999998,27.0,79.0,131.0,92.0,4,2.1247023820502626,2,1,0,1,0,1,1,0,1,0,0,0
2,60.0,51000.0,1113,303.5,1,4,3,4,61.120000000000005,5.0,24.0,100.0,136.0,1,0.5222674827706096,1,1,1,0,0,0,0,0,0,0,1,1
2,74.0,72000.0,1225,357.14285714285717,4,4,3,10,222.95999999999998,30.0,85.0,115.0,81.14285714285714,3,1.9051825582221058,2,1,0,0,1,1,1,0,0,0,1,0
2,23.0,33000.0,1978,347.8181818181818,3,5,4,21,141.2,9.0,62.0,110.0,64.72727272727273,3,1.20654726058917,2,1,1,0,0,1,1,1,1,0,0,0
1,27.0,39000.0,1003,348.85714285714283,0,5,2,7,16.48,0.0,35.0,59.0,77.14285714285714,0,0.14082081341720626,1,1,0,1,0,1,0,1,1,0,0,0
1,59.0,76000.0,1363,267.0,2,3,1,8,515.0899999999999,10.0,30.0,75.0,87.42857142857143,1,4.401419464992036,0,1,0,0,0,0,0,1,0,0,1,0
2,74.0,91000.0,1609,336.42857142857144,2,4,2,6,156.05,7.0,16.0,40.0,85.71428571428571,2,1.333439801805524,0,1,1,0,1,0,0,0,0,1,0,1
1,55.0,79000.0,1304,214.2,1,3,3,3,57.099999999999994,3.0,29.0,41.0,98.4,1,0.48791677464335415,1,1,0,1,1,0,0,0,0,0,0,0
2,87.0,77000.0,996,445.7647058823529,4,4,4,5,644.2899999999998,22.0,66.0,90.0,131.2941176470588,4,5.505427298335667,2,1,1,0,0,0,1,1,0,0,0,0
2,53.0,88000.0,1987,350.22222222222223,5,6,4,12,251.45999999999998,32.0,91.0,145.0,104.0,4,2.1487136979302597,2,1,1,0,0,0,1,1,0,0,1,1
1,48.0,52000.0,2793,381.6923076923077,4,5,5,12,162.90000000000003,16.0,58.0,160.0,98.76923076923077,4,1.391972724858186,2,1,1,0,0,1,0,0,1,0,1,0
1,49.0,73000.0,1533,365.0,0,3,1,8,39.739999999999995,0.0,5.0,20.0,40.0,0,0.3395764032281417,1,1,0,0,0,0,0,0,0,1,1,1
2,44.0,76000.0,1123,341.3333333333333,0,5,4,0,0.0,0.0,19.0,50.0,149.33333333333334,0,0.0,1,0,1,0,0,0,0,1,0,1,1,0
2,53.0,84000.0,1446,303.75,2,4,3,7,765.8800000000001,6.0,18.0,42.0,78.0,2,6.544408044901089,0,1,0,1,0,0,0,0,0,1,0,1
2,60.0,74000.0,2054,406.3636363636364,2,4,1,4,86.25999999999999,15.0,42.0,80.0,100.36363636363636,1,0.7370875828500127,1,1,0,0,0,1,0,0,1,0,1,1
2,29.0,31000.0,1579,431.7391304347826,1,4,3,15,101.19,2.0,46.0,70.0,59.47826086956522,1,0.8646637202480036,1,1,1,0,0,1,1,0,0,1,0,0
2,54.0,119000.0,1993,351.0,2,5,3,8,181.16000000000003,4.0,22.0,70.0,102.66666666666667,2,1.5480035533168135,0,1,1,0,0,0,1,0,0,1,0,1
2,20.0,43000.0,1313,336.0,0,5,4,8,17.96,0.0,56.0,64.0,73.41176470588235,0,0.15346734277748933,1,1,0,1,1,1,1,0,0,0,0,1
2,70.0,92000.0,1246,376.0,2,4,1,5,135.57999999999998,8.0,21.0,71.0,104.0,1,1.158524628829176,0,1,0,1,0,0,0,0,1,0,1,1
2,69.0,79000.0,1205,352.8,1,4,2,3,53.92,2.0,11.0,35.0,88.8,1,0.4607438264232865,1,1,0,0,0,0,0,1,1,1,0,0
0,63.0,89000.0,2027,274.7142857142857,2,2,2,8,166.58999999999997,15.0,45.0,45.0,72.0,2,1.4235035987361884,0,1,0,0,0,0,1,1,0,0,0,0
2,62.0,62000.0,1408,372.0,2,4,3,5,97.64,7.0,16.0,70.0,106.28571428571429,2,0.8343291396878652,1,1,1,0,0,0,0,0,0,1,1,0
1,44.0,64000.0,1345,466.0,0,1,1,10,161.89000000000001,0.0,0.0,0.0,12.0,0,1.3833423230650195,0,1,0,0,0,0,0,0,0,1,0,0
2,54.0,58000.0,1467,421.5652173913044,4,6,4,9,139.41000000000003,17.0,64.0,80.0,87.65217391304348,4,1.1912517960250442,2,1,0,0,1,0,1,1,1,1,0,0
1,64.0,76000.0,1580,392.64,6,6,4,9,195.01000000000002,24.0,65.0,171.0,107.52,4,1.666351142262706,2,1,0,1,0,1,0,0,1,0,1,0
1,39.0,71000.0,1404,197.57142857142858,2,4,4,4,71.95,15.0,45.0,45.0,72.0,2,0.6148093158597081,1,1,0,0,1,1,0,0,0,1,0,0
1,67.0,39000.0,1918,462.42857142857144,3,6,3,16,44.69,10.0,63.0,91.0,66.0,3,0.3818739169669264,1,1,0,1,0,1,1,1,1,0,0,1
1,59.0,42000.0,2121,453.4736842105263,1,5,2,11,34.88,5.0,21.0,60.0,64.42105263157895,1,0.2980479351936987,1,1,0,0,0,0,0,1,1,1,1,0
2,83.0,67000.0,1061,305.77777777777777,4,5,5,13,232.9,14.0,42.0,90.0,84.44444444444444,4,1.9901193837904938,2,1,1,0,1,0,0,1,1,0,0,1
2,68.0,57000.0,1382,359.80645161290323,3,5,5,18,252.14,20.0,60.0,105.0,58.83870967741935,3,2.1545242654741736,2,1,0,0,1,1,0,0,0,0,1,1
2,58.0,64000.0,1970,336.44444444444446,4,5,5,13,767.2899999999998,15.0,45.0,126.0,90.66666666666667,4,6.556456427602437,2,1,1,1,1,0,0,0,0,1,1,0
1,28.0,64000.0,1572,293.14285714285717,3,3,3,12,218.51,15.0,45.0,81.0,75.42857142857143,3,1.867157520618552,2,1,1,1,0,1,0,0,0,0,0,0
1,70.0,64000.0,1845,450.0,4,4,3,13,230.21,27.0,79.0,95.0,65.0,3,1.9671334621829522,2,1,0,0,1,1,1,0,1,0,0,0
1,77.0,94000.0,2250,384.0,1,3,3,9,223.70000000000002,2.0,26.0,50.0,78.0,1,1.9115058229022477,0,1,1,0,0,0,1,0,0,0,0,1
1,57.0,65000.0,1464,370.55172413793105,3,6,6,14,247.26000000000005,7.0,25.0,101.0,75.3103448275862,3,2.112824898394322,2,1,0,1,0,0,0,0,1,1,0,1
2,46.0,73000.0,2238,372.8181818181818,5,6,6,5,86.28,27.0,85.0,125.0,126.54545454545455,5,0.7372584818954221,3,1,1,0,1,0,1,1,1,0,0,0
1,64.0,43000.0,1192,467.0,2,4,2,10,23.169999999999998,4.0,35.0,75.0,81.33333333333333,2,0.19798654410659397,1,1,1,0,0,1,0,1,1,0,0,0
2,42.0,50000.0,1304,513.2,3,5,3,4,59.09,17.0,56.0,80.0,124.8,3,0.5049212296615727,1,1,1,0,0,1,1,1,0,0,0,1
2,46.0,62000.0,1481,384.6666666666667,5,5,3,23,371.9099999999999,13.0,35.0,115.0,68.66666666666667,3,3.177953198907352,2,1,1,0,1,0,0,0,1,0,0,0
2,28.0,65000.0,1174,347.14285714285717,3,5,5,8,34.01,11.0,53.0,77.0,88.0,3,0.2906138267183971,1,1,0,1,1,0,1,0,0,1,0,0
1,61.0,59000.0,1051,364.6363636363636,1,6,5,10,21.57,3.0,19.0,31.0,60.0,1,0.18431462047385552,1,1,0,1,1,0,0,0,0,1,0,1
1,38.0,66000.0,1320,310.2857142857143,2,4,4,18,50.09,5.0,19.0,71.0,66.0,2,0.42801665922741877,1,1,1,1,0,0,0,0,0,1,0,0
1,21.0,53000.0,1278,339.6923076923077,0,4,2,7,28.0,0.0,45.0,60.0,77.53846153846153,0,0.23925866357292325,1,1,0,0,0,0,1,0,0,0,1,1
1,54.0,70000.0,1127,374.8695652173913,4,4,4,11,193.38,26.0,78.0,102.0,81.3913043478261,4,1.6524228700618533,2,1,0,1,0,1,1,0,0,0,0,0
1,70.0,65000.0,2286,454.6666666666667,2,5,4,16,47.449999999999996,4.0,14.0,70.0,72.0,2,0.4054579852334002,1,1,1,0,0,0,0,0,1,1,0,1
2,81.0,79000.0,1103,322.5,2,6,4,4,89.37,10.0,41.0,64.0,114.0,2,0.7636623844111482,1,1,0,1,0,0,0,1,0,1,1,1
1,77.0,53000.0,1178,299.6666666666667,0,5,3,10,22.650000000000002,0.0,65.0,65.0,60.0,0,0.193543168925954,1,1,0,0,0,1,1,1,0,0,0,1
1,74.0,36000.0,1883,276.0,2,4,3,14,27.9,8.0,35.0,55.0,65.73913043478261,2,0.23840416834587708,1,1,0,1,0,0,0,1,0,0,0,0
2,49.0,58000.0,1168,342.9230769230769,0,6,6,1,10.36,0.0,30.0,84.0,151.3846153846154,0,0.08852570552198159,1,1,1,1,0,0,0,1,0,1,1,1
1,45.0,43000.0,1088,262.7142857142857,0,6,2,6,17.18,0.0,40.0,94.0,99.42857142857143,0,0.14680228000652934,1,1,0,1,0,1,0,0,1,0,1,0
2,49.0,74000.0,1227,318.0,1,5,4,1,26.38,5.0,66.0,104.0,148.36363636363637,1,0.22541584089477554,1,1,0,1,1,1,1,0,0,0,1,0
1,35.0,64000.0,1318,448.15384615384613,1,4,2,6,14.86,2.0,33.0,65.0,107.07692307692308,1,0.12697799073905855,1,1,1,0,0,0,1,1,1,0,0,0
2,62.0,40000.0,1014,393.0,0,4,3,5,49.28999999999999,0.0,29.0,60.0,92.0,0,0.42118069741104947,1,1,1,0,0,1,0,0,0,1,1,0
0,43.0,56000.0,1413,350.25,4,4,4,12,204.48999999999998,9.0,27.0,111.0,93.0,4,1.747357289786681,2,1,1,1,0,0,0,0,1,0,0,0
1,50.0,73000.0,2267,294.0,1,2,2,11,24.550000000000004,2.0,26.0,50.0,46.5,1,0.20977857823983095,1,1,0,0,0,1,0,0,1,0,0,0
1,64.0,75000.0,1342,331.38461538461536,1,5,2,5,18.95,5.0,30.0,60.0,92.3076923076923,1,0.16192684552524625,1,1,0,0,1,0,0,1,0,1,1,0
2,79.0,88000.0,1802,272.1818181818182,1,4,3,3,72.4,2.0,11.0,50.0,93.81818181818181,1,0.6186545443814159,1,1,0,0,0,0,0,0,1,1,1,0
2,84.0,108000.0,1742,384.22222222222223,5,5,3,14,372.02,18.0,47.0,117.0,86.22222222222223,3,3.1788931436571035,2,1,0,1,0,0,0,1,1,0,1,0
1,71.0,93000.0,1230,214.8,1,4,2,3,69.77000000000001,10.0,44.0,60.0,112.8,1,0.596181319910102,1,1,1,0,0,1,1,0,0,1,0,0
1,54.0,70000.0,1037,320.6666666666667,4,4,4,6,114.77,30.0,90.0,135.0,116.0,4,0.9807041720808714,3,1,0,0,0,1,1,1,0,0,1,0
2,59.0,99000.0,1016,374.47058823529414,3,6,6,2,53.69,18.0,88.0,146.0,134.11764705882354,3,0.4587784874010803,1,1,0,1,1,1,0,0,1,0,1,0
1,26.0,61000.0,1141,495.6666666666667,3,4,3,8,126.42,17.0,51.0,75.0,101.33333333333333,3,1.0802528660317485,2,1,1,0,0,0,1,1,0,0,0,1
1,65.0,46000.0,1623,387.42857142857144,2,4,2,13,39.910000000000004,5.0,37.0,84.0,73.14285714285714,2,0.34102904511412024,1,1,1,1,0,1,0,0,0,0,1,0
1,53.0,34000.0,1273,432.27272727272725,1,3,2,16,47.81000000000001,2.0,28.0,60.0,55.63636363636363,1,0.40853416805076653,1,1,1,0,0,0,1,0,1,0,0,0
2,32.0,34000.0,1256,419.7,1,4,4,11,400.15999999999997,10.0,50.0,50.0,44.4,1,3.419348100547891,0,1,0,0,0,1,0,0,0,1,0,0
2,87.0,94000.0,1432,362.7692307692308,3,4,2,4,91.80999999999999,17.0,44.0,90.0,101.53846153846153,2,0.7845120679510743,1,1,0,0,0,1,0,0,1,1,1,0
2,20.0,30000.0,1732,122.76923076923077,0,2,1,10,29.889999999999997,0.0,25.0,40.0,44.30769230769231,0,0.25540862336409553,1,1,0,0,0,0,1,0,0,0,1,0
2,54.0,109000.0,1810,191.0,1,1,1,3,78.94,2.0,6.0,30.0,84.0,1,0.6745385322302343,1,1,0,0,0,0,0,0,1,0,0,0
1,58.0,79000.0,1849,412.2857142857143,5,5,5,13,261.71,19.0,57.0,195.0,113.14285714285714,5,2.2362994587024905,2,1,1,0,0,0,0,1,1,0,1,0
1,28.0,45000.0,1075,368.57142857142856,1,5,4,4,21.93,5.0,48.0,80.0,126.85714285714286,1,0.18739080329122165,1,1,1,0,1,1,0,1,0,0,0,0
1,73.0,30000.0,1320,437.14285714285717,0,5,1,1,0.61,0.0,20.0,20.0,109.71428571428571,0,0.005212420884981542,1,1,0,0,1,0,0,1,0,0,0,1
1,37.0,60000.0,1233,327.55555555555554,5,5,5,12,181.81999999999996,19.0,57.0,105.0,90.66666666666667,5,1.5536432218153178,2,1,1,0,1,0,0,1,1,0,0,0
1,24.0,73000.0,1600,355.0,2,4,3,15,65.97,8.0,39.0,51.0,55.0,2,0.563710501282348,1,1,0,1,0,0,1,1,0,1,0,0
1,44.0,74000.0,1269,440.7692307692308,3,6,3,14,48.86000000000001,17.0,53.0,115.0,78.46153846153847,3,0.4175063679347511,1,1,1,0,0,1,0,1,1,1,1,0
1,51.0,98000.0,1918,422.7,2,5,5,8,206.25,15.0,45.0,45.0,62.4,2,1.7623964057826935,0,1,0,0,1,1,0,0,0,1,0,1
